target, source, value
2.1.9 Knowledge of information security issues,CM4103 Ethical Hacking (see comment),1
2.1.9 Knowledge of information security issues,CM4105 Honours Individual Project,1
2.1.9 Knowledge of information security issues,CM4108 Cloud Computing (see comment),1
2.1.9 Knowledge of information security issues,CM4025 Enterprise Web Systems,1
2.2.1 Specify design or construct computer-based systems,CM4103 Ethical Hacking (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4105 Honours Individual Project,1
2.2.1 Specify design or construct computer-based systems,CM4106 Languages and Compilers,1
2.2.1 Specify design or construct computer-based systems,CM4107 Advanced Artificial Intelligence,1
2.2.1 Specify design or construct computer-based systems,CM4108 Cloud Computing (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4110 Human Computer Interaction,1
2.2.1 Specify design or construct computer-based systems,CM4114 Games Development (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4025 Enterprise Web Systems,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4103 Ethical Hacking (see comment),1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4105 Honours Individual Project,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4108 Cloud Computing (see comment),1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4110 Human Computer Interaction,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4025 Enterprise Web Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4103 Ethical Hacking (see comment),1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4105 Honours Individual Project,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4108 Cloud Computing (see comment),1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4110 Human Computer Interaction,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4114 Games Development (see comment),1
2.2.4 Deploy tools effectively,CM4103 Ethical Hacking (see comment),1
2.2.4 Deploy tools effectively,CM4105 Honours Individual Project,1
2.2.4 Deploy tools effectively,CM4108 Cloud Computing (see comment),1
2.2.4 Deploy tools effectively,CM4114 Games Development (see comment),1
2.3.2 Development of general transferable skills,CM4105 Honours Individual Project,1
2.3.2 Development of general transferable skills,CM4108 Cloud Computing (see comment),1
2.3.2 Development of general transferable skills,CM4110 Human Computer Interaction,1
2.3.2 Development of general transferable skills,CM4114 Games Development (see comment),1
3.1.1 Deploy systems to meet business goals,CM4103 Ethical Hacking (see comment),1
3.1.1 Deploy systems to meet business goals,CM4105 Honours Individual Project,1
3.1.1 Deploy systems to meet business goals,CM4108 Cloud Computing (see comment),1
3.1.1 Deploy systems to meet business goals,CM4025 Enterprise Web Systems,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4103 Ethical Hacking (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM4105 Honours Individual Project,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4108 Cloud Computing (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM4110 Human Computer Interaction,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4025 Enterprise Web Systems,1
3.1.3 Knowledge of systems architecture,CM4105 Honours Individual Project,1
3.1.3 Knowledge of systems architecture,CM4106 Languages and Compilers,1
3.1.3 Knowledge of systems architecture,CM4108 Cloud Computing (see comment),1
3.1.3 Knowledge of systems architecture,CM4114 Games Development (see comment),1
3.1.3 Knowledge of systems architecture,CM4025 Enterprise Web Systems,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4105 Honours Individual Project,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4106 Languages and Compilers,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4110 Human Computer Interaction,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4114 Games Development (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4103 Ethical Hacking (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4105 Honours Individual Project,1
3.2.1 Specify deploy verify and maintain information systems,CM4108 Cloud Computing (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4025 Enterprise Web Systems,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4105 Honours Individual Project,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4107 Advanced Artificial Intelligence,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4108 Cloud Computing (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4110 Human Computer Interaction,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4114 Games Development (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4025 Enterprise Web Systems,1
3.2.3 System Design,CM4105 Honours Individual Project,1
3.2.3 System Design,CM4108 Cloud Computing (see comment),1
3.2.3 System Design,CM4110 Human Computer Interaction,1
3.2.3 System Design,CM4114 Games Development (see comment),1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4105 Honours Individual Project,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4106 Languages and Compilers,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4108 Cloud Computing (see comment),1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM4105 Honours Individual Project,1
4.1.3 Knowledge and understanding of computational modelling,CM4105 Honours Individual Project,1
4.1.3 Knowledge and understanding of computational modelling,CM4106 Languages and Compilers,1
4.1.3 Knowledge and understanding of computational modelling,CM4108 Cloud Computing (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4103 Ethical Hacking (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4105 Honours Individual Project,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4108 Cloud Computing (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4025 Enterprise Web Systems,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4105 Honours Individual Project,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4106 Languages and Compilers,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4107 Advanced Artificial Intelligence,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4108 Cloud Computing (see comment),1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4025 Enterprise Web Systems,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4105 Honours Individual Project,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4106 Languages and Compilers,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4108 Cloud Computing (see comment),1
