source,target,value
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3112 3D Modelling (see comment),CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3111 Big Data Analytics (see comment),CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3112 3D Modelling (see comment),CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3105 Web Security (see comment),CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3111 Big Data Analytics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3105 Web Security (see comment),CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3105 Web Security (see comment),CM4106 Languages and Compilers,1
CM3110 Mobile App Development,CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3105 Web Security (see comment),CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4107 Advanced Artificial Intelligence,1
CM3104 Computer Security and Cryptography,CM4107 Advanced Artificial Intelligence,1
CM3108 Software Engineering And Project Management,CM4107 Advanced Artificial Intelligence,1
CM3111 Big Data Analytics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3115 C++ for Graphics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3113 Concurrent Programming,CM4107 Advanced Artificial Intelligence,1
CM3116 Graphics Development (see comment),CM4107 Advanced Artificial Intelligence,1
CM3038 Artificial Intellikgence for Problem Solving,CM4107 Advanced Artificial Intelligence,1
CM3112 3D Modelling (see comment),CM4107 Advanced Artificial Intelligence,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3112 3D Modelling (see comment),CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3110 Mobile App Development,CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3108 Software Engineering And Project Management,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4107 Advanced Artificial Intelligence,1
CM3104 Computer Security and Cryptography,CM4107 Advanced Artificial Intelligence,1
CM3108 Software Engineering And Project Management,CM4107 Advanced Artificial Intelligence,1
CM3111 Big Data Analytics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3115 C++ for Graphics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3113 Concurrent Programming,CM4107 Advanced Artificial Intelligence,1
CM3116 Graphics Development (see comment),CM4107 Advanced Artificial Intelligence,1
CM3038 Artificial Intellikgence for Problem Solving,CM4107 Advanced Artificial Intelligence,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
Problem Solving,CM2100,1
Problem Solving,CM1109,1
Problem Solving,CM1112,1
Problem Solving,CM1113,1
AI and Data Science,CM1102,1
Security,CM1110,1
Security,CM1111,1
Design,CM1108,1
Design,CM1114,1
Design,CM1105,1
Programing,CM1109,1
Programing,CM1112,1
Programing,CM1113,1
Programing,CM1114,1
Multi Platform Development,CM1109,1
Multi Platform Development,CM1114,1
CM2100,CM2100,1
CM1109,CM2100,1
CM1112,CM2100,1
CM1113,CM2100,1
CM2100,CM3109,1
CM1109,CM3109,1
CM1112,CM3109,1
CM1113,CM3109,1
CM1102,CM2101,1
CM1110,CM3109,1
CM1111,CM3109,1
CM1108,CM2104,1
CM1114,CM2104,1
CM1105,CM2104,1
CM1109,CM2100,1
CM1112,CM2100,1
CM1113,CM2100,1
CM1114,CM2100,1
CM1109,CM2104,1
CM1112,CM2104,1
CM1113,CM2104,1
CM1114,CM2104,1
CM1109,CM2110,1
CM1112,CM2110,1
CM1113,CM2110,1
CM1114,CM2110,1
CM1109,CM2104,1
CM1114,CM2104,1
CM1109,CM2110,1
CM1114,CM2110,1
CM2100,CM3113,1
CM3109,CM3113,1
CM2101,CM3111,1
CM2101,CM3038,1
CM3109,CM3104,1
CM3109,CM3105,1
CM2104,CM3110,1
CM2112,CM3130,1
CM2112,CM3132,1
CM2100,CM3110,1
CM2104,CM3110,1
CM2110,CM3110,1
CM2100,CM3113,1
CM2104,CM3113,1
CM2110,CM3113,1
CM2104,CM3110,1
CM2110,CM3110,1
CM3113,CM4105,1
CM3111,CM4105,1
CM3038,CM4105,1
CM3111,CM4107,1
CM3038,CM4107,1
CM3111,CM4125,1
CM3038,CM4125,1
CM3111,CM4126,1
CM3038,CM4126,1
CM3104,CM4105,1
CM3105,CM4105,1
CM3110,CM4105,1
CM3110,CM4125,1
CM3110,CM4110,1
CM3130,CM4105,1
CM3132,CM4105,1
CM3110,CM4105,1
CM3113,CM4105,1
CM3110,CM4106,1
CM3113,CM4106,1
CM3110,CM4025,1
CM3113,CM4025,1
CM3110,CM4105,1
CM3110,CM4025,1
